state_abb,state,county,2018-2019,2019-2020,2023-2024,2024-2025,perc_change,pop_2023,pop_tier,prepand_herd,postpand_herd,fiptxt,name,goppct24,dempct24,urbrur2013,urb_rur2013_grp
AL,ALABAMA,AUTAUGA COUNTY,94.0966011,NA,NA,92.7731092,-1.4065246613886413,60342,50-100K,n,n,01001,AUTAUGA,72.7,26.4,3,3 Medium metro
AL,ALABAMA,BALDWIN COUNTY,89.3248175,NA,NA,91.8897943,2.8715164181555783,253507,100-500K,n,n,01003,BALDWIN,78.6,20.5,4,4 Small city-rural
AL,ALABAMA,BARBOUR COUNTY,96.031746,NA,NA,97.0711297,1.082333440027225,24585,10-50K,y,y,01005,BARBOUR,57,42.3,6,4 Small city-rural
AL,ALABAMA,BIBB COUNTY,95.1690821,NA,NA,95.1020408,-0.07044441169408278,21868,10-50K,y,y,01007,BIBB,81.9,17.5,2,2 Suburb of major metro
AL,ALABAMA,BLOUNT COUNTY,97.1181556,NA,NA,95.7446809,-1.4142306261013868,59816,50-100K,y,y,01009,BLOUNT,90.2,9.2,2,2 Suburb of major metro
AL,ALABAMA,BULLOCK COUNTY,92.8571429,NA,NA,88.8888889,-4.273504305719926,9897,5-10K,n,n,01011,BULLOCK,26.8,72.6,6,4 Small city-rural
AL,ALABAMA,BUTLER COUNTY,97.0588235,NA,NA,90.5063291,-6.751054838409408,18382,10-50K,y,n,01013,BUTLER,61.1,38.4,6,4 Small city-rural
AL,ALABAMA,CALHOUN COUNTY,95.9367946,NA,NA,93.0752048,-2.982786543923156,116429,100-500K,y,n,01015,CALHOUN,71.9,27.2,4,4 Small city-rural
AL,ALABAMA,CHAMBERS COUNTY,95.9349593,NA,NA,94.9090909,-1.0693374005527891,34079,10-50K,y,n,01017,CHAMBERS,61.3,38,5,4 Small city-rural
AL,ALABAMA,CHEROKEE COUNTY,95.9409594,NA,NA,94.4625407,-1.5409671836156411,25666,10-50K,y,n,01019,CHEROKEE,87.5,12,6,4 Small city-rural
AL,ALABAMA,CHILTON COUNTY,91.3294798,NA,NA,93.877551,2.7899766927173513,46431,10-50K,n,n,01021,CHILTON,85.8,13.7,2,2 Suburb of major metro
AL,ALABAMA,CHOCTAW COUNTY,96,NA,NA,90.1408451,-6.103286354166664,12252,10-50K,y,n,01023,CHOCTAW,61.7,37.8,6,4 Small city-rural
AL,ALABAMA,CLARKE COUNTY,96.4285714,NA,NA,91.2133891,-5.408337201602469,22337,10-50K,y,n,01025,CLARKE,58.3,41.2,6,4 Small city-rural
AL,ALABAMA,CLAY COUNTY,96.4285714,NA,NA,92.9292929,-3.628881408482623,14111,10-50K,y,n,01027,CLAY,84.9,14.7,6,4 Small city-rural
AL,ALABAMA,CLEBURNE COUNTY,98.5915493,NA,NA,90.9090909,-7.792207805380337,15639,10-50K,y,n,01029,CLEBURNE,91.5,7.9,6,4 Small city-rural
AL,ALABAMA,COFFEE COUNTY,96.4383562,NA,NA,93.0645161,-3.498442147855681,55643,50-100K,y,n,01031,COFFEE,78.6,20.7,5,4 Small city-rural
AL,ALABAMA,COLBERT COUNTY,96.9639469,NA,NA,94.6859903,-2.3492820505226333,58361,50-100K,y,n,01033,COLBERT,72.8,26.3,4,4 Small city-rural
AL,ALABAMA,CONECUH COUNTY,97.6190476,NA,NA,90.6976744,-7.090187181871259,11174,10-50K,y,n,01035,CONECUH,56.6,42.7,6,4 Small city-rural
AL,ALABAMA,COOSA COUNTY,89.8305085,NA,NA,100,11.320754685475263,10268,10-50K,n,y,01037,COOSA,71.4,28.1,5,4 Small city-rural
AL,ALABAMA,COVINGTON COUNTY,95.6962025,NA,NA,95.5947137,-0.10605311114618649,37952,10-50K,y,y,01039,COVINGTON,86,13.6,6,4 Small city-rural
AL,ALABAMA,CRENSHAW COUNTY,99.3975904,NA,NA,93.4911243,-5.942262861937554,13101,10-50K,y,n,01041,CRENSHAW,77.2,22.5,6,4 Small city-rural
AL,ALABAMA,CULLMAN COUNTY,93.0283224,NA,NA,92.3736892,-0.7036923628325031,92016,50-100K,n,n,01043,CULLMAN,89.9,9.4,5,4 Small city-rural
AL,ALABAMA,DALE COUNTY,96.6386555,NA,NA,96.0187354,-0.641482538009859,49871,10-50K,y,y,01045,DALE,75.8,23.5,5,4 Small city-rural
AL,ALABAMA,DALLAS COUNTY,93.4210526,NA,NA,92.3076923,-1.1917659553324271,36165,10-50K,n,n,01047,DALLAS,33.4,65.9,5,4 Small city-rural
AL,ALABAMA,DEKALB COUNTY,94.129979,NA,NA,91.5017462,-2.7921315057342113,72569,50-100K,n,n,01049,DEKALB,86.6,12.7,6,4 Small city-rural
AL,ALABAMA,ELMORE COUNTY,93.3333333,NA,NA,90.4942966,-3.0418250368006485,90441,50-100K,n,n,01051,ELMORE,75.6,23.6,3,3 Medium metro
AL,ALABAMA,ESCAMBIA COUNTY,97.2286374,NA,NA,95.2380952,-2.0472797451751603,36558,10-50K,y,y,01053,ESCAMBIA,72.9,26.6,6,4 Small city-rural
AL,ALABAMA,ETOWAH COUNTY,92.721519,NA,NA,92.6553672,-0.07134460340322041,103241,100-500K,n,n,01055,ETOWAH,77.5,21.8,4,4 Small city-rural
AL,ALABAMA,FAYETTE COUNTY,86,NA,NA,91.5343915,6.435338953488374,15967,10-50K,n,n,01057,FAYETTE,85.7,13.7,6,4 Small city-rural
AL,ALABAMA,FRANKLIN COUNTY,84.8484848,NA,NA,97.3630832,14.749348122713911,31802,10-50K,n,y,01059,FRANKLIN,86.3,13,6,4 Small city-rural
AL,ALABAMA,GENEVA COUNTY,98.3974359,NA,NA,97.9041916,-0.5012775947752063,26988,10-50K,y,y,01061,GENEVA,88.2,11.2,4,4 Small city-rural
AL,ALABAMA,GREENE COUNTY,91.1392405,NA,NA,85,-6.7361111046344515,7341,5-10K,n,n,01063,GREENE,21.9,77.6,6,4 Small city-rural
AL,ALABAMA,HALE COUNTY,92.5531915,NA,NA,94.4444444,2.0434226733283496,14888,10-50K,n,n,01065,HALE,46.2,53.1,4,4 Small city-rural
AL,ALABAMA,HENRY COUNTY,98.4042553,NA,NA,94.7089947,-3.755183745595598,17899,10-50K,y,n,01067,HENRY,75.1,24.3,4,4 Small city-rural
AL,ALABAMA,HOUSTON COUNTY,91.6216216,NA,NA,93.3835846,1.9230864606308165,108462,100-500K,n,n,01069,HOUSTON,73.5,25.7,4,4 Small city-rural
AL,ALABAMA,JACKSON COUNTY,92.6573427,NA,NA,91.8669131,-0.8530674169657552,53467,50-100K,n,n,01071,JACKSON,85.4,13.9,5,4 Small city-rural
AL,ALABAMA,JEFFERSON COUNTY,95.3350988,NA,NA,94.8496659,-0.5091859200968212,662895,500K+,y,n,01073,JEFFERSON,44.2,54.6,1,1 Urban core of major metro
AL,ALABAMA,LAMAR COUNTY,97.1751412,NA,NA,94.5121951,-2.740357325048073,13661,10-50K,y,n,01075,LAMAR,87.8,11.7,6,4 Small city-rural
AL,ALABAMA,LAUDERDALE COUNTY,95.9385291,NA,NA,94.3961353,-1.6076896471826438,96814,50-100K,y,n,01077,LAUDERDALE,75.3,23.8,4,4 Small city-rural
